b0,b1,b2,b3,z.sd,phi.ROS,z
2.89924,-0.820296,0.562911,0.160582,1.02264,10.7201,-1.448952755
2.93697,-0.664112,0.531966,0.165796,0.811633,8.92281,1.075245438
2.81732,-0.609418,0.564244,0.190483,0.986625,10.9428,-0.091533592
2.85219,-0.774575,0.612937,-0.00224179,0.881049,10.5943,1.329836392
2.87703,-0.817199,0.576063,0.118415,0.964625,12.4639,0.57214512
2.84825,-0.813086,0.670973,0.127872,0.857749,13.6577,1.098194278
2.91436,-0.789197,0.731279,0.196909,0.850641,17.7654,-1.115402333
2.988,-0.785533,0.792312,0.205187,0.972149,12.9341,0.871684723
2.97569,-0.820986,0.712361,0.274386,0.948119,11.1267,0.142033951
2.90157,-0.745971,0.716682,0.087934,0.932107,13.2715,1.504022132
2.87659,-0.759537,0.709374,0.2081,0.860478,10.4796,-0.479888973
2.78572,-0.861536,0.615468,0.247406,0.956093,11.2213,-0.225099554
2.94275,-0.828056,0.52049,0.489729,1.08605,13.5986,-1.405569865
3.04781,-0.680043,0.626927,0.380393,1.06832,9.63665,-0.766083121
3.05838,-0.63138,0.590899,0.249025,0.911728,8.12539,0.2182847
2.93695,-0.611397,0.568157,0.0994512,1.03423,9.1417,-0.995180349
2.93324,-0.536626,0.566207,-0.116786,0.971414,11.0712,0.680167854
2.85159,-0.682202,0.734182,-0.00481164,0.895461,8.15593,1.446451044
2.79231,-0.743059,0.625037,0.162354,0.851839,7.01771,-0.489074598
2.80989,-0.733148,0.533189,0.193181,0.794074,5.48094,-1.203424675
2.88252,-0.745614,0.613319,0.358408,0.87164,5.79034,1.351953967
3.04608,-0.649174,0.631051,0.351723,0.952179,7.96248,2.252050582
3.07145,-0.694654,0.432643,0.354251,1.05833,7.51619,0.949524691
2.96351,-0.591922,0.613383,0.326931,0.925362,7.52387,-1.541517082
3.04116,-0.628903,0.660436,0.218777,0.911147,8.12403,-0.45768004
2.94331,-0.736447,0.714114,0.172298,0.889104,9.71306,0.259655107
2.8634,-0.647636,0.603208,0.299657,0.898114,7.30027,0.271742645
2.91414,-0.632363,0.686707,0.176107,0.846129,7.14616,0.702669174
2.92868,-0.733077,0.726687,0.150267,0.914855,8.13033,-1.079635176
2.94035,-0.719619,0.646805,0.228772,0.904046,12.1886,0.345732349
2.93878,-0.722337,0.652896,0.181521,0.897384,12.7721,1.363682299
2.97042,-0.690744,0.827024,0.238555,0.889331,9.47264,0.113644065
2.85752,-0.688729,0.905157,0.250383,0.881198,6.88111,0.482260778
2.81815,-0.680692,0.671804,0.0408103,0.889786,6.30391,0.025976994
2.78695,-0.606687,0.798065,0.0907833,0.825454,8.13146,-0.535808657
2.62488,-0.529383,0.691295,0.0199535,0.865081,7.12935,-0.976349188
2.71307,-0.605874,0.842955,0.096516,0.996388,9.50316,0.99468421
2.67568,-0.583708,0.690756,0.331158,0.949461,8.3501,-0.481815225
2.76622,-0.640401,0.686839,0.499001,0.7994,9.23833,0.195432753
2.77143,-0.722842,0.662985,0.426858,0.825948,8.75387,-0.747596172
2.85092,-0.707657,0.749125,0.253406,0.872435,8.76759,-1.330769558
2.813,-0.79435,0.61858,0.404264,0.891872,7.79025,1.145044776
2.83381,-0.739003,0.546992,0.247723,0.876703,7.1105,1.408436983
2.87208,-0.659356,0.597938,0.27186,1.01658,11.2381,0.504557124
2.76763,-0.584891,0.62072,0.23433,0.906642,9.71549,0.452624092
2.82507,-0.723876,0.554356,0.212304,0.907676,7.24127,-0.071654333
2.95111,-0.798135,0.56388,0.364576,0.802672,6.79871,-2.183084856
2.94268,-0.761675,0.484297,0.24154,0.923878,7.40261,-0.305370583
2.917,-0.787693,0.716244,0.361531,0.953813,13.1152,0.275460801
2.7964,-0.685951,0.537258,0.343008,0.876951,8.25673,0.23638836
2.79792,-0.44685,0.540962,0.320777,0.924418,8.13496,-1.013364916
2.89775,-0.526569,0.594013,0.348423,1.04532,8.42662,-1.031079469
3.004,-0.681889,0.490712,0.350486,1.03248,9.04443,1.355166716
3.08369,-0.70031,0.561748,0.274992,0.97185,12.5328,0.853392855
3.05847,-0.753856,0.583868,0.217609,0.965833,18.1305,0.625879137
2.87816,-0.739995,0.626005,0.130678,0.920895,9.30412,0.597032402
2.82682,-0.722197,0.553444,0.100367,0.872256,8.70121,0.075916216
2.83434,-0.797709,0.717894,0.162578,0.854854,7.88248,-1.45681403
2.72976,-0.655334,0.712315,0.141402,0.93169,9.50428,-0.374848411
2.71288,-0.659783,0.618711,0.125788,0.877433,8.47495,-0.703045545
2.58979,-0.682599,0.666501,0.306244,0.832859,6.45591,0.228851918
2.82644,-0.624145,0.684375,0.343195,0.846461,8.36118,-0.469598631
2.86803,-0.71995,0.612247,0.247039,0.992117,8.7155,0.667170976
2.83236,-0.778054,0.568473,0.4897,1.02695,10.0941,-1.393998601
2.84335,-0.711017,0.674824,0.277705,0.960633,9.84203,-0.430745472
2.83592,-0.745055,0.531951,0.331836,0.976669,9.00141,1.150853247
2.92021,-0.648204,0.584193,0.168239,0.800982,10.3647,0.92149692
2.83971,-0.663313,0.501442,0.200527,0.955229,8.04356,0.203799585
2.91531,-0.657823,0.520502,0.0417766,0.877018,6.40138,-0.148585655
2.79827,-0.619142,0.538689,0.0332979,0.900388,6.76528,0.516842794
2.89511,-0.730824,0.518197,0.0135022,1.0339,9.46335,-0.630937595
2.8677,-0.646677,0.460375,0.0511022,1.04268,9.7194,-2.052511439
2.84292,-0.58856,0.516242,0.00945386,1.02128,13.6325,-0.253511069
2.81056,-0.614138,0.486343,-0.0558009,0.885538,6.62545,0.281854382
2.86372,-0.429691,0.764918,-0.0052978,0.93789,11.3625,-0.443628929
2.892,-0.470573,0.641843,0.00872306,0.802677,8.85893,-0.548832863
2.88294,-0.507368,0.691157,0.126645,1.09249,8.77339,1.389189961
2.88709,-0.55131,0.553743,0.176175,1.22692,9.9898,-0.8335279
2.84273,-0.567964,0.496621,0.170115,0.926399,7.96325,1.780127663
2.84952,-0.588507,0.561258,0.249498,0.851149,7.85494,-0.446561338
2.88397,-0.616465,0.539928,0.0977317,0.915861,6.56815,-1.143262399
2.99576,-0.602232,0.590141,0.0948544,1.0194,7.18679,1.431922188
2.88662,-0.583099,0.386141,0.127524,1.00648,5.03764,-0.129286468
2.88693,-0.473509,0.491193,0.208321,0.907396,5.00123,1.005113543
2.96481,-0.640554,0.637766,0.12899,0.885108,7.37269,0.98188708
2.88321,-0.633156,0.652599,0.182745,0.862951,7.50534,-0.248515332
3.00131,-0.779577,0.67085,0.320034,0.998403,7.55686,-0.310867285
2.89418,-0.782328,0.778831,0.24691,0.853096,7.80477,-1.456413687
2.81541,-0.898473,0.688472,0.24845,1.02939,9.82258,0.699263417
2.79257,-0.76145,0.704741,0.180176,0.994347,10.3406,-0.611581734
2.77451,-0.737696,0.696645,0.185376,0.874436,7.19152,1.136220571
2.85682,-0.768586,0.689705,0.226837,0.865636,9.52488,-0.513695634
2.91054,-0.906338,0.678179,0.286055,0.960556,11.0126,-1.043438994
2.84597,-0.743123,0.530785,0.213462,1.03704,11.9069,-1.817759205
2.86708,-0.803536,0.69377,0.0554545,0.975844,10.6001,0.505458226
2.74592,-0.777487,0.522783,0.0432798,0.903673,8.82466,-0.128788722
2.80909,-0.771386,0.715565,0.00736266,1.01527,10.1469,-0.495142439
2.93358,-0.769658,0.680234,-0.0628057,1.00694,8.48054,-0.284298902
2.95821,-0.681305,0.582126,0.0780142,0.891584,7.74373,1.021511868
3.06991,-0.672306,0.769352,0.0862709,0.965592,9.85572,1.488581122
3.00113,-0.70565,0.771005,0.130419,0.895229,10.9462,-1.63011628
2.86112,-0.60876,0.704664,0.131866,0.906391,8.24365,-0.159722714
2.75925,-0.702157,0.588241,0.221089,0.745448,7.56926,-0.691008522
2.7196,-0.666549,0.60567,0.174829,0.95261,7.77013,-1.056143087
2.72173,-0.763064,0.663689,0.196089,0.960554,11.3262,0.577241935
2.77061,-0.922286,0.725903,0.0392247,1.08227,10.3546,-0.264447907
2.78007,-0.861779,0.657617,0.137143,0.880788,11.0427,-1.599025249
2.77499,-0.801097,0.669994,0.150705,0.97646,13.3347,-0.910533266
2.94384,-0.743061,0.779236,0.147812,0.939814,13.9519,-1.80487022
2.92065,-0.722602,0.859576,0.207919,0.837346,11.7462,1.544608584
2.95121,-0.603977,0.703796,0.205118,1.01707,9.87214,-0.931061372
2.85947,-0.621102,0.590928,0.252543,0.874589,8.17334,0.776421342
2.89069,-0.75238,0.562685,0.172411,0.885777,7.32114,0.745662357
2.91089,-0.632127,0.665129,0.223287,0.918079,8.82506,-1.183154841
2.96476,-0.583244,0.741321,0.32487,0.90702,7.69989,-0.037996999
